table_name	column_name	comment
erreurs	in_err	Numeric. Calculated measurement error linked to the measurement of Holmium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	la_err	Numeric. Calculated measurement error linked to the measurement of Lanthanum for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	lu_err	Numeric. Calculated measurement error linked to the measurement of Lutetium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	mo_err	Numeric. Calculated measurement error linked to the measurement of Molybdenum for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	nb_err	Numeric. Calculated measurement error linked to the measurement of Niobium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	nd_err	Numeric. Calculated measurement error linked to the measurement of Neodymium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ni_err	Numeric. Calculated measurement error linked to the measurement of Nickel for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	pb_err	Numeric. Calculated measurement error linked to the measurement of Lead for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	pd_err	Numeric. Calculated measurement error linked to the measurement of Palladium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	pr_err	Numeric. Calculated measurement error linked to the measurement of Praseodymium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	rb_err	Numeric. Calculated measurement error linked to the measurement of Rubidium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	sb_err	Numeric. Calculated measurement error linked to the measurement of Antimony for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	sc_err	Numeric. Calculated measurement error linked to the measurement of Scandium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	sm_err	Numeric. Calculated measurement error linked to the measurement of Samarium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	sn_err	Numeric. Calculated measurement error linked to the measurement of Tin for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	sr_err	Numeric. Calculated measurement error linked to the measurement of Strontium for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
erreurs	ta_err	Numeric. Calculated measurement error linked to the measurement of Tantalum for the corresponding analysis in 'analyses' table, expressed as �g.g-1 (or ppm)
