table	column	comment
measurement errors	s_err	Numeric. Calculated measurement error linked to the measurement of Sulphur for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	cl_err	Numeric. Calculated measurement error linked to the measurement of Chloride for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	k_err	Numeric. Calculated measurement error linked to the measurement of Potassium for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	ca_err	Numeric. Calculated measurement error linked to the measurement of Calcium for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	mn_err	Numeric. Calculated measurement error linked to the measurement of Manganese for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	fe_err	Numeric. Calculated measurement error linked to the measurement of Iron for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	as_err	Numeric. Calculated measurement error linked to the measurement of Arsenic for the corresponding analysis in 'analyses' table, expressed as %wt
measurement errors	ba_err	Numeric. Calculated measurement error linked to the measurement of Barium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	be_err	Numeric. Calculated measurement error linked to the measurement of Beryllium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	bi_err	Numeric. Calculated measurement error linked to the measurement of Bismuth for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	cd_err	Numeric. Calculated measurement error linked to the measurement of Cadmium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ce_err	Numeric. Calculated measurement error linked to the measurement of Cerium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	co_err	Numeric. Calculated measurement error linked to the measurement of Cobalt for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	cr_err	Numeric. Calculated measurement error linked to the measurement of Chromium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	cs_err	Numeric. Calculated measurement error linked to the measurement of Cesium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	cu_err	Numeric. Calculated measurement error linked to the measurement of Copper for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	dy_err	Numeric. Calculated measurement error linked to the measurement of Dysprosium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	er_err	Numeric. Calculated measurement error linked to the measurement of Erbium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	eu_err	Numeric. Calculated measurement error linked to the measurement of Europium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ga_err	Numeric. Calculated measurement error linked to the measurement of Gallium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	gd_err	Numeric. Calculated measurement error linked to the measurement of Gadolinium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ge_err	Numeric. Calculated measurement error linked to the measurement of Germanium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	hf_err	Numeric. Calculated measurement error linked to the measurement of Hafnium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ho_err	Numeric. Calculated measurement error linked to the measurement of Hollium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	in_err	Numeric. Calculated measurement error linked to the measurement of Holmium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	la_err	Numeric. Calculated measurement error linked to the measurement of Lanthanum for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	lu_err	Numeric. Calculated measurement error linked to the measurement of Lutetium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	mo_err	Numeric. Calculated measurement error linked to the measurement of Molybdenum for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	nb_err	Numeric. Calculated measurement error linked to the measurement of Niobium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	nd_err	Numeric. Calculated measurement error linked to the measurement of Neodymium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ni_err	Numeric. Calculated measurement error linked to the measurement of Nickel for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	pb_err	Numeric. Calculated measurement error linked to the measurement of Lead for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	pd_err	Numeric. Calculated measurement error linked to the measurement of Palladium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	pr_err	Numeric. Calculated measurement error linked to the measurement of Praseodymium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	rb_err	Numeric. Calculated measurement error linked to the measurement of Rubidium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	sb_err	Numeric. Calculated measurement error linked to the measurement of Antimony for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	sc_err	Numeric. Calculated measurement error linked to the measurement of Scandium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	sm_err	Numeric. Calculated measurement error linked to the measurement of Samarium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	sn_err	Numeric. Calculated measurement error linked to the measurement of Tin for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	sr_err	Numeric. Calculated measurement error linked to the measurement of Strontium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ta_err	Numeric. Calculated measurement error linked to the measurement of Tantalum for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	tb_err	Numeric. Calculated measurement error linked to the measurement of Terbium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	th_err	Numeric. Calculated measurement error linked to the measurement of Thorium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	ti_err	Numeric. Calculated measurement error linked to the measurement of Titanium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	tm_err	Numeric. Calculated measurement error linked to the measurement of Thulium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	u_err	Numeric. Calculated measurement error linked to the measurement of Uranium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	v_err	Numeric. Calculated measurement error linked to the measurement of Vanadium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	w_err	Numeric. Calculated measurement error linked to the measurement of Tungsten for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	y_err	Numeric. Calculated measurement error linked to the measurement of Yttrium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	yb_err	Numeric. Calculated measurement error linked to the measurement of Ytterbium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	zn_err	Numeric. Calculated measurement error linked to the measurement of Zinc for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
measurement errors	zr_err	Numeric. Calculated measurement error linked to the measurement of Zirconium for the corresponding analysis in 'analyses' table, expressed as µg.g-1 (or ppm)
gadm	uid	Numeric. Unique identifier of the lowest administrative category 'localite' in the 'gadm' table, used as primary key in 'gadm' table
gadm	pays	String. Name of the country
gadm	subdiv1	String. Name of an administrative entity of rank 1 in a country
gadm	subdiv1_type	String. Type of administrative entity of rank 1 (province, region, etc)
gadm	subdiv2	String. Name of an administrative entity of rank 2 in a country
gadm	subdiv2_type	String. Type of administrative entity of rank 2 (county, department, etc)
gadm	subdiv3	String. Name of an administrative entity of rank 3 in a country
gadm	subdiv3_type	String. Type of administrative entity of rank 3 (district, etc)
gadm	subdiv4	String. Name of an administrative entity of rank 4 in a country
gadm	subdiv4_type	String. Type of administrative entity of rank 3 (village, town, etc)
gadm	localite	String. Name of the administrative entity of lowest rank of the selection
gadm	localite_type	String. Type of the administrative entity of lowest rank of the selection
uncertainties	id_incertitude	Numeric. Unique identifier of the uncertainty value in the 'incertitudes' table, used as foreign key in 'incertitudes' table
uncertainties	id_machine	Numeric. Unique identifier of the analytical device in the 'machines' table, used as foreign key in 'incertitudes' table
uncertainties	id_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as foreign key in 'incertitudes' table
uncertainties	int_min	Numeric. Lower value of the amount range to which the uncertainty value expressed in the 'val_incertitude' field is related
uncertainties	int_max	Numeric. Higher value of the amount range to which the uncertainty value expressed in the 'val_incertitude' field is related
uncertainties	val_incertitude	Numeric. Value expressing the uncertainty of the measurement of a given element with a given analytical device and within a given amount range
detection limits	id_ldd	Numeric. Unique identifier of the detection limit in the 'limitesdetection' table, used as primary key in 'limitesdetection' table
detection limits	id_machine	Numeric. Unique identifier of the analytical device in the 'machines' table, used as foreign key in 'limitesdetection' table
detection limits	id_element	Numeric. Atomic number of a given chemical elements corresponding to the number of protons in the nucleus, used as foreign key in 'limitesdetection' table
detection limits	val_ldd	Numeric. Value of the limit of detection, expressed either as %wt or µg.g-1
literature	id_lit	Numeric. Unique identifier of the bibliographic reference in the 'literature' table, used as primary key in 'literature' table
literature	authors	String. List of the names of the authors
literature	title	String. Title of the publication
literature	journal_book	String. Name of the journal in which the reference has been published
literature	volume	Numeric. Volume number of the journal
literature	issue	Numeric. Issue number of the journal
literature	pub_year	Numeric. Year of publication of the reference
literature	pages	String. Page numbers of the publication
literature	url	String. URL to the web page linked to the publication
literature	doi	String. Digital object identifier given to the publication
literature	pub_type	String. Type of publication (e.g. article, book, etc)
analytical setups	id_dispositif	Numeric. Unique identifier of the analytical device in the 'machines' table, used as primary key in 'machines' table
analytical setups	laboratoire	String. Name of the laboratory operating the analytical device
analytical setups	methode_analyse	String. Name of the analysis method (e.g. X-Ray spectroscopy, mass spectrometry)
analytical setups	marque	String. Manufacturer of the analytical device
analytical setups	modele	String. Model of the analytical device
personnes	id_personne	Numeric. Unique identifier of the persons in the 'personnes' table, used as primary key in 'personnes' table
personnes	prenom	String. First name of the person
personnes	nom	String. Last name of the person
personnes	organisme	String. Organisation to which the person is affiliated
personnes	courriel	String. Email of the person
contexts	context_id	Numeric. Unique identifier of the contexts in the 'context' table, used as primary key in 'context' table
contexts	locality_id	Numeric. Unique identifier 'uuid' of the corresponding administrative entity in the 'gadm' table, used as foreing key in 'context' table
contexts	context_name	String. Name given to the context (e.g. site name, phase name, stratigraphic unit number, etc)
contexts	centroid	Boolean. Boolean indicating whether the spatial coordinates correspond to the centroid of the administrative entity or not
contexts	srid	Numeric. Unique identifier of the spatial referencing system (here table 'spatial_ref_sys') in which the coordinates given in the 'latitude' and 'longitude' fields are projected, as defined by the EPSG following the recommandations of the ISO 6709:2008 standard
contexts	easting	Numeric. Easting coordinates expressed either as decimal coordinates or as plane coordinates
contexts	northing	Numeric. Northing coordinates expressed either as decimal coordinates or as plane coordinates
